time,B1dw,B1uw,B2dw,B2uw,B3dw,B3uw,B4dw,B4uw,B5dw,B5uw,B6dw,B6uw,B7dw,B7uw,Dsd1,Dsd10,Dsd11,Dsd12,Dsd13,Dsd14,Dsd15,Dsd16,Dsd17,Dsd18,Dsd19,Dsd2,Dsd20,Dsd21,Dsd22,Dsd23,Dsd24,Dsd25,Dsd26,Dsd27,Dsd28,Dsd29,Dsd3,Dsd30,Dsd31,Dsd32,Dsd4,Dsd5,Dsd6,Dsd7,Dsd8,Dsd9,LWdw,LWuw,P,PARdw,PARuw,RH,SWdw,SWuw,S_dw,S_uw,Tabove,Tair,Tbelow,deployment_id,device_id,dqs,group_id,lat,long
2016-11-15T01:38:01Z,0.983296142,1.039818616,0.379475346,0.413672253,0.439680805,0.406658881,0.34083193,0.351972339,0.164366775,0.155334778,0.053742847,0.053181755,0.002041,0.002087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,369.7642038,-386.5682523,101500,73.4208992,-89.22527393,41.88,38.34509432,-47.1154259,5.80E-14,2.61E-13,10.97472715,11.49,14.14972195,ee905f92-6ded-4462-9201-d888991123e4,a151e49c-a685-4bce-bd48-d1c07d73e815,4,573a199417d33307faa9e48b,40.46219,-74.42953
2016-11-15T01:43:02Z,1.028611574,1.085134048,0.405031099,0.417900902,0.4490574,0.439680805,0.355685809,0.359560734,0.166157602,0.173398772,0.054889426,0.054889426,0.002227,0.002203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,369.5678182,-386.4693274,101500,72.55402,-90.12812536,40.33,37.8923545,-47.5921768,5.80E-14,2.61E-13,10.9369876,11.64,14.1313366,ee905f92-6ded-4462-9201-d888991123e4,a151e49c-a685-4bce-bd48-d1c07d73e815,4,573a199417d33307faa9e48b,40.46219,-74.42953
2016-11-15T01:48:03Z,1.005710227,1.085134048,0.422129552,0.422129552,0.463326133,0.434992507,0.355685809,0.370701142,0.171530083,0.169739256,0.054328334,0.054889426,0.002203,0.002227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,369.8859631,-386.8141952,101500,75.192348,-89.22527393,38.87,39.2702583,-47.1154259,5.80E-14,2.61E-13,10.99811816,11.84,14.19541554,ee905f92-6ded-4462-9201-d888991123e4,a151e49c-a685-4bce-bd48-d1c07d73e815,4,573a199417d33307faa9e48b,40.46219,-74.42953
2016-11-15T01:53:04Z,1.005710227,1.085134048,0.405031099,0,0.4490574,0.416035476,0.3445454,0.370701142,0.164366775,0.167948429,0.055450518,0.054889426,0.002203,0.002134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,369.3403935,-386.7844484,101500,72.55402,0,39.7,37.8923545,0,5.80E-14,2.61E-13,10.89326444,11.6,14.18989006,ee905f92-6ded-4462-9201-d888991123e4,a151e49c-a685-4bce-bd48-d1c07d73e815,4,573a199417d33307faa9e48b,40.46219,-74.42953
2016-11-15T01:58:05Z,1.016917269,1.118755175,0.409443603,0.413672253,0.4490574,0.425412072,0.34083193,0.355685809,0.171530083,0.166157602,0.053181755,0.054328334,0.002203,0.00225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,369.0757951,-386.1896267,101500,74.2877784,-92.87593406,40.38,38.79783414,-49.0431578,5.80E-14,2.61E-13,10.84236909,11.33,14.07933467,ee905f92-6ded-4462-9201-d888991123e4,a151e49c-a685-4bce-bd48-d1c07d73e815,4,573a199417d33307faa9e48b,40.46219,-74.42953
2016-11-15T02:03:06Z,1.051025658,1.09634109,0.409443603,0.422129552,0.458637835,0.439680805,0.355685809,0.366987673,0.167948429,0.173398772,0.053181755,0.054328334,0.002134,0.002296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368.9695076,-385.7974161,101500,72.55402,-90.12812536,40.18,37.8923545,-47.5921768,5.79E-14,2.61E-13,10.82191705,11.28,14.00636733,ee905f92-6ded-4462-9201-d888991123e4,a151e49c-a685-4bce-bd48-d1c07d73e815,4,573a199417d33307faa9e48b,40.46219,-74.42953
2016-11-15T02:08:07Z,1.039818616,1.051025658,0.417900902,0,0.4490574,0.430304209,0.348258869,0.363274203,0.164366775,0.169739256,0.053742847,0.054889426,0.002227,0.002227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368.8158968,-385.428394,101500,73.4208992,-90.12812536,41.43,38.34509432,-47.5921768,5.79E-14,2.61E-13,10.79235116,11.09,13.93766318,ee905f92-6ded-4462-9201-d888991123e4,a151e49c-a685-4bce-bd48-d1c07d73e815,4,573a199417d33307faa9e48b,40.46219,-74.42953
2016-11-15T02:13:09Z,1.005710227,1.073439743,0.422129552,0,0.463326133,0.420723774,0.348258869,0.355685809,0.173398772,0.169739256,0.053742847,0.05601161,0.002157,0.002134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368.2403001,-384.6515621,101400,75.192348,-89.22527393,44.96,39.2702583,-47.1154259,5.79E-14,2.61E-13,10.68148228,10.65,13.79287202,ee905f92-6ded-4462-9201-d888991123e4,a151e49c-a685-4bce-bd48-d1c07d73e815,4,573a199417d33307faa9e48b,40.46219,-74.42953
2016-11-15T02:17:34Z,0.9720891,0.9720891,0.379475346,0.39234515,0.406658881,0.38770185,0.318228202,0.333243536,0.155334778,0.158916432,0.048668625,0.048083138,0.001925,0.001948,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,367.8935667,-383.6625292,101500,73.4208992,-79.21539938,45.15,38.34509432,-41.8297094,5.79E-14,2.60E-13,10.61463329,10.29,13.60821172,ee905f92-6ded-4462-9201-d888991123e4,a151e49c-a685-4bce-bd48-d1c07d73e815,4,573a199417d33307faa9e48b,40.46219,-74.42953
2016-11-15T02:22:35Z,0.983296142,1.051025658,0.3965738,0.417900902,0.425412072,0.434992507,0.314514732,0.351972339,0.164366775,0.169739256,0.052620663,0.054889426,0.002203,0.002064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,367.8617532,-383.1203606,101500,73.4208992,-89.22527393,46.59,38.34509432,-47.1154259,5.79E-14,2.60E-13,10.6084974,10.19,13.50683299,ee905f92-6ded-4462-9201-d888991123e4,a151e49c-a685-4bce-bd48-d1c07d73e815,4,573a199417d33307faa9e48b,40.46219,-74.42953
